id,count_9296,count_9701,count_0206,count_0711
12087,1,3,3,2
12089,4,3,7,1
12091,3,9,3,1
12093,1,,,
12095,9,10,11,15
12097,3,3,5,1
12099,4,22,25,30
12101,3,1,10,9
12103,6,37,27,24
12105,3,,2,9
12107,3,3,2,
12109,4,6,1,5
12111,1,1,2,3
12113,2,3,,5
12115,5,14,20,14
12117,1,4,4,3
12119,2,3,,5
12121,1,1,,
12123,,1,,
12125,,,,
12127,3,6,7,10
12129,,5,,
12131,,1,1,1
12133,1,,,
13000,11,9,,1
13001,,,,1
13003,,,,
13005,,,,
13007,,,,
13009,4,,,1
13011,,1,,
13013,,,,
13015,2,,,1
13017,,,,
13019,,,,
13021,9,,,1
13023,,,,
13025,1,,,
13027,,,,
13029,1,,,
13031,,,,1
13033,,,,
13035,1,,,2
13037,,,,
13039,1,,,1
13043,23,,,
13045,8,,,1
13047,,,,
13049,,,,
13051,8,,1,4
13053,,,,
13055,,,,
13057,,,2,
13059,3,,,1
13061,,,,
13063,2,,1,
13065,,,,
13067,8,2,6,11
13069,1,,,
13071,,,,
13073,2,,,
13075,1,,,
13077,2,,1,3
13079,,,,1
13081,2,,,
13083,,,1,
13085,,,3,
13087,,,,
13089,12,,3,10
13091,1,,,
13093,,,,
13095,1,,,
13097,1,,,
13099,,,,1
13101,,,,
13103,1,,,
13105,,,,
13107,,,,
13109,,,,1
13111,,,,
13113,1,,2,4
13115,,,,
13117,,,1,5
13119,,,,2
13121,7,,3,11
13123,,,,
13125,,,,
13127,,,,
13129,1,,,
13131,,,,
13133,,,,
13135,2,1,,8
13137,1,,,
13139,1,,2,4
13141,,,,
13143,,,,
13145,,,,1
13147,,,3,
13149,,,,2
13151,1,,1,10
13153,2,,,7
13155,,,,
13157,1,,,
13159,,,,1
13161,,,,
13163,,,,
13165,,,,
13167,,,,
13169,1,,,1
13171,,,,
13173,,,,
13175,,,,3
13177,,,,
13179,1,,,
13181,,,,
13183,,,,
13185,38,,,2
13187,,,1,
13189,1,,,
13191,,,,
13193,,,,
13195,3,,,
13197,,,,
13199,,,1,1
13201,,,,1
13205,,,,1
13207,2,,,
13209,,,,
13211,,,,
13213,,,,
13215,3,,,1
13217,1,,1,4
13219,,,,
13221,1,,,
13223,,,,
13225,2,,,1
13227,,,,
13229,,,,
13231,2,,,1
13233,,,,
13235,,,,
13237,,,,
13239,,,,
13241,,,,1
13243,,,,
13245,32,,,
13247,3,,2,2
13249,,,,
13251,,,,
13253,1,,,
13255,4,,1,
13257,1,,1,
13259,,,,
13261,,,,2
13263,,,,
13265,,,,
13267,1,,,1
13269,,,,1
13271,,,,
13273,2,,,
13275,2,,,1
13277,,,,
13279,,,,1
13281,,,,
13283,,,,
13285,,1,,2
13287,,,,
13289,1,,,
13291,,,,
13293,3,,,
13295,,,,2
13297,1,,,1
13299,,,,
13301,,,,
13303,,,,1
13305,1,,1,
13307,,,,
13309,2,,,
13311,,,,
13313,,,,
13315,,,,
13317,1,,,
13319,1,,,
13321,,,,
15000,,,,
15001,1,,,
15003,1,,,
15005,,,,
15007,2,,,
15009,,,,
16000,,,1,
16001,1,4,4,4
16003,,1,,
16005,,,1,1
16007,,,,1
16009,,,,1
16011,1,,,2
16013,,3,2,1
16015,1,,,
16017,,,3,1
16019,,1,1,4
16021,,2,1,
16023,,,,
16025,,,,
16027,,1,5,5
16029,,,,
16031,,,,
16033,,,,
16035,,,,
16037,,,,
16039,,,,1
16041,,,,
16043,,,,
16045,1,2,,
16047,,,,
16049,,2,1,1
16051,,,,
16053,,,,
16055,,1,2,4
16057,,3,,1
16059,,1,,
16061,,,,
16063,,,,
16065,1,,1,
16067,,,,
16069,1,1,,
16071,,,,
16073,,,,
16075,1,,,
16077,,,,
16079,,,,
16081,,,,
16083,1,,,
16085,1,,,
16087,,1,,
17000,,,,
17001,2,3,,3
17003,2,,,1
17005,,,,1
17007,,5,2,2
17009,,,,
17011,,,2,4
17013,,,1,
17015,,,2,15
17017,,,,
17019,,,4,5
17021,,,,1
17023,,,,2
17025,,,,
17027,1,,,
17029,2,,,1
17031,13,17,123,186
17033,,,,1
17035,,,,
17037,3,6,6,8
17039,1,,,
17041,,,,1
17043,6,8,42,102
17045,,,,1
17047,,,,
17049,,,,
17051,,,,
17053,,,,2
17055,1,1,1,
17057,,,1,3
17059,,,,
17061,,,,1
17063,,4,4,7
17065,,,,
17067,,,,
17069,,,,
17071,,,,
17073,1,,3,3
17075,1,1,1,2
17077,4,1,,
17079,1,,,
17081,,,1,
